x,y
203,58
203,59
203,60
203,61
203,62
203,63
203,64
203,65
203,66
203,67
203,68
203,69
203,70
203,71
203,72
203,73
203,74
203,75
203,76
203,77
203,78
203,79
203,80
203,81
203,82
203,83
203,84
203,85
203,86
203,87
203,88
203,89
203,90
203,91
203,92
203,93
203,94
203,95
203,96
203,97
203,98
203,99
203,100
203,101
203,102
203,103
203,104
203,105
203,106
203,107
203,108
203,109
203,110
203,111
203,112
203,113
203,114
203,115
203,116
203,117
203,118
203,119
203,120
203,121
203,122
203,123
203,124
203,125
203,126
203,127
203,128
203,129
203,130
203,131
203,132
203,133
203,134
203,135
203,136
203,137
203,138
203,139
203,140
203,141
203,142
203,143
203,144
203,145
203,146
203,147
203,148
203,149
203,150
203,151
203,152
203,153
203,154
203,155
203,156
203,157
203,158
203,159
203,160
203,161
203,162
203,163
203,164
203,165
203,166
203,167
203,168
203,169
203,170
203,171
203,172
203,173
203,174
203,175
203,176
203,177
203,178
203,179
203,180
203,181
203,182
203,183
203,184
203,185
203,186
203,187
203,188
203,189
203,190
203,191
203,192
